Text A,Text B,Threshold,Cutoff,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
gender_trouble_pages.txt,gender_texts/THE EMPERORS NE,3,5,3,1,533517,45970,"[(435522, 435631)]","[(34199, 34308)]"
gender_trouble_pages.txt,gender_texts/QUEERNESS AT SH,3,5,3,1,533517,58719,"[(118066, 118330)]","[(4653, 4920)]"
gender_trouble_pages.txt,gender_texts/Inclusion and t,3,5,3,1,533517,35376,"[(477833, 477898)]","[(33058, 33123)]"
gender_trouble_pages.txt,gender_texts/An Exploration ,3,5,3,1,533517,45966,"[(443971, 444257)]","[(6388, 6643)]"
gender_trouble_pages.txt,gender_texts/The Sentimental,3,5,3,1,533517,59900,"[(478055, 478118)]","[(2578, 2642)]"
gender_trouble_pages.txt,gender_texts/The Pathologization of Environmental Discourse Melding Disability Studies and Ecocriticism in Urban Grunge Novels,3,5,3,6,533517,68152,"[(418202, 418602), (433304, 433476), (434702, 434977), (435237, 435597), (439426, 439594), (493724, 493799)]","[(48679, 49075), (49134, 49306), (49320, 49595), (49577, 49939), (50076, 50244), (64967, 65042)]"
gender_trouble_pages.txt,gender_texts/Does he think w,3,5,3,1,533517,27930,"[(524174, 524260)]","[(27149, 27236)]"
gender_trouble_pages.txt,gender_texts/Early Social Ag,3,5,3,2,533517,88559,"[(63900, 63982), (64063, 64450)]","[(8154, 8238), (8231, 8621)]"
gender_trouble_pages.txt,gender_texts/Men Masculinity,3,5,3,1,533517,19470,"[(481404, 481466)]","[(18695, 18757)]"
gender_trouble_pages.txt,gender_texts/Symposium in In,3,5,3,1,533517,69743,"[(493656, 493799)]","[(32754, 32905)]"
gender_trouble_pages.txt,gender_texts/Regulation of S,3,5,3,1,533517,58479,"[(74829, 75069)]","[(6050, 6295)]"
gender_trouble_pages.txt,gender_texts/Double Trouble ,3,5,3,1,533517,56986,"[(48525, 48614)]","[(428, 517)]"
